VOTER_ID,ELECTION_DATE,ELECTION_TYPE,ELECTION_NAME,VOTED,VOTING_METHOD,PRIMARY_PARTY_VOTED
306468299,2024-11-05,GE,2024 General,Y,ED,
306468299,2021-11-02,GE,2021 General,Y,EV,
306468299,2021-06-08,PR,2021 Primary,Y,ED,DEM
306468299,2020-11-03,GE,2020 General,Y,ED,
306468299,2019-11-05,GE,2019 General,Y,ED,
306468299,2018-11-06,GE,2018 General,Y,ABS,
306468299,2018-06-12,PR,2018 Primary,Y,ED,DEM
902099969,2024-11-05,GE,2024 General,Y,ABS,
902099969,2023-11-07,GE,2023 General,Y,ED,
902099969,2022-11-08,GE,2022 General,Y,EV,
902099969,2021-11-02,GE,2021 General,Y,ED,
902099969,2019-11-05,GE,2019 General,Y,ED,
902099969,2017-11-07,GE,2017 General,Y,ED,
100614068,2024-11-05,GE,2024 General,Y,ED,
100614068,2023-11-07,GE,2023 General,Y,ED,
100614068,2021-11-02,GE,2021 General,Y,ED,
100614068,2021-06-08,PR,2021 Primary,Y,ABS,REP
100614068,2018-06-12,PR,2018 Primary,Y,EV,REP
107721109,2017-11-07,GE,2017 General,Y,ED,
690907304,2021-11-02,GE,2021 General,Y,ED,
690907304,2019-11-05,GE,2019 General,Y,ED,
186019028,2024-11-05,GE,2024 General,Y,ABS,
186019028,2022-11-08,GE,2022 General,Y,EV,
817112652,2024-11-05,GE,2024 General,Y,EV,
817112652,2022-11-08,GE,2022 General,Y,EV,
817112652,2021-11-02,GE,2021 General,Y,ED,
817112652,2020-11-03,GE,2020 General,Y,ED,
817112652,2020-06-23,PR,2020 Primary,Y,ED,REP
817112652,2019-11-05,GE,2019 General,Y,ED,
144913399,2024-11-05,GE,2024 General,Y,ABS,
144913399,2024-06-18,PR,2024 Primary,Y,ED,REP
144913399,2022-11-08,GE,2022 General,Y,ABS,
144913399,2021-11-02,GE,2021 General,Y,ED,
723403479,2024-11-05,GE,2024 General,Y,ED,
723403479,2021-11-02,GE,2021 General,Y,EV,
723403479,2020-11-03,GE,2020 General,Y,ED,
723403479,2019-11-05,GE,2019 General,Y,ED,
723403479,2017-11-07,GE,2017 General,Y,ED,
341206079,2024-11-05,GE,2024 General,Y,ED,
341206079,2021-11-02,GE,2021 General,Y,ED,
341206079,2020-06-23,PR,2020 Primary,Y,ED,DEM
397760792,2023-11-07,GE,2023 General,Y,ED,
397760792,2021-11-02,GE,2021 General,Y,EV,
397760792,2017-11-07,GE,2017 General,Y,ABS,
397760792,2016-11-08,GE,2016 General,Y,EV,
336801619,2024-06-18,PR,2024 Primary,Y,EV,DEM
336801619,2022-06-21,PR,2022 Primary,Y,ABS,DEM
938842599,2024-11-05,GE,2024 General,Y,ED,
938842599,2021-11-02,GE,2021 General,Y,ED,
982971099,2024-11-05,GE,2024 General,Y,ED,
982971099,2024-06-18,PR,2024 Primary,Y,EV,REP
982971099,2022-06-21,PR,2022 Primary,Y,EV,REP
982971099,2021-11-02,GE,2021 General,Y,ED,
982971099,2019-11-05,GE,2019 General,Y,ABS,
982971099,2017-11-07,GE,2017 General,Y,ED,
982971099,2016-11-08,GE,2016 General,Y,ED,
842800803,2024-11-05,GE,2024 General,Y,ED,
842800803,2023-11-07,GE,2023 General,Y,ED,
842800803,2022-11-08,GE,2022 General,Y,ABS,
842800803,2021-11-02,GE,2021 General,Y,ED,
842800803,2020-11-03,GE,2020 General,Y,EV,
842800803,2016-03-01,PR,2016 Primary,Y,ED,DEM
766823010,2024-06-18,PR,2024 Primary,Y,ED,DEM
392322121,2024-11-05,GE,2024 General,Y,EV,
392322121,2021-11-02,GE,2021 General,Y,ED,
392322121,2019-11-05,GE,2019 General,Y,ED,
392322121,2018-11-06,GE,2018 General,Y,EV,
392322121,2017-11-07,GE,2017 General,Y,ED,
652543518,2024-06-18,PR,2024 Primary,Y,EV,REP
652543518,2022-11-08,GE,2022 General,Y,ED,
652543518,2020-11-03,GE,2020 General,Y,EV,
652543518,2017-11-07,GE,2017 General,Y,ED,
652543518,2016-11-08,GE,2016 General,Y,ABS,
246574716,2024-11-05,GE,2024 General,Y,ED,
246574716,2023-06-20,PR,2023 Primary,Y,ABS,DEM
246574716,2017-11-07,GE,2017 General,Y,ED,
139749508,2024-06-18,PR,2024 Primary,Y,ED,REP
139749508,2022-11-08,GE,2022 General,Y,ED,
139749508,2021-11-02,GE,2021 General,Y,ABS,
139749508,2020-11-03,GE,2020 General,Y,ED,
510753814,2024-11-05,GE,2024 General,Y,ABS,
510753814,2023-11-07,GE,2023 General,Y,EV,
